fonte;recurso;arquivo;sha256;bytes;chave;papel;versao;origem;dt_envio
b3;cotahist;COTAHIST_A1986.ZIP;350e6086c8f991484832ca3cd23e900b692769bfd3311017800231fd896c8018;8713632;b3/cotahist/COTAHIST_A1986.ZIP/350e6086c8f991484832ca3cd23e900b692769bfd3311017800231fd896c8018.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1986.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1987.ZIP;16db2bbda8cf770ad177af762c6e651422dee7b1dc7a62ea75fa10e5760f517d;6349827;b3/cotahist/COTAHIST_A1987.ZIP/16db2bbda8cf770ad177af762c6e651422dee7b1dc7a62ea75fa10e5760f517d.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1987.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1988.ZIP;b99563d58d2c58ba4c910545fc969041499a45e4e2f6649829a67702193a88ee;8122653;b3/cotahist/COTAHIST_A1988.ZIP/b99563d58d2c58ba4c910545fc969041499a45e4e2f6649829a67702193a88ee.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1988.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1989.ZIP;9f2d468dbbd9ff2ffcf960501cbb0a66d3921ecd7fbb9305a8c6269f302c503d;7510968;b3/cotahist/COTAHIST_A1989.ZIP/9f2d468dbbd9ff2ffcf960501cbb0a66d3921ecd7fbb9305a8c6269f302c503d.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1989.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1990.ZIP;85dd3ad24b0d9742c0d438e91ecec2ff07ef38e381c075469b9d0829c9f95619;5352193;b3/cotahist/COTAHIST_A1990.ZIP/85dd3ad24b0d9742c0d438e91ecec2ff07ef38e381c075469b9d0829c9f95619.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1990.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1991.ZIP;9c83ede3d78ca1588309f0934c7cbfdbdfd047287c69b44d17ddfa43e4e82262;5476429;b3/cotahist/COTAHIST_A1991.ZIP/9c83ede3d78ca1588309f0934c7cbfdbdfd047287c69b44d17ddfa43e4e82262.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1991.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1992.ZIP;50a35c8c409ee49bfb0fcc1773f687548af85e1c2bf81756f7ef2b89ee035939;5214684;b3/cotahist/COTAHIST_A1992.ZIP/50a35c8c409ee49bfb0fcc1773f687548af85e1c2bf81756f7ef2b89ee035939.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1992.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1993.ZIP;f63c13905d712e74f69610511d8000b4231644a89bd60d47af1e21209709ecad;5893559;b3/cotahist/COTAHIST_A1993.ZIP/f63c13905d712e74f69610511d8000b4231644a89bd60d47af1e21209709ecad.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1993.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1994.ZIP;b3bbd8e8d290c36943398c6f99a04e0721db2ebac3b917904df9efaacf3172eb;5998158;b3/cotahist/COTAHIST_A1994.ZIP/b3bbd8e8d290c36943398c6f99a04e0721db2ebac3b917904df9efaacf3172eb.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1994.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1995.ZIP;de553f41a3ce15ec8a082ed1c2d451df58520a447d3f39417f45e7feb5a995fc;5277341;b3/cotahist/COTAHIST_A1995.ZIP/de553f41a3ce15ec8a082ed1c2d451df58520a447d3f39417f45e7feb5a995fc.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1995.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1996.ZIP;911a993548931f56b1b3dc18d2994c67f5d011cf7a85986029384298f17d6800;5598339;b3/cotahist/COTAHIST_A1996.ZIP/911a993548931f56b1b3dc18d2994c67f5d011cf7a85986029384298f17d6800.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1996.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1997.ZIP;f6bd380e753ec8024857b739b7d9b010c7467a5fd967e82d01186a46f5e33fc3;6094245;b3/cotahist/COTAHIST_A1997.ZIP/f6bd380e753ec8024857b739b7d9b010c7467a5fd967e82d01186a46f5e33fc3.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1997.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1998.ZIP;91a2d516686a0d0ff133254df2595f44d23d9b7ecf1966a11ef4c2beeacec440;5384840;b3/cotahist/COTAHIST_A1998.ZIP/91a2d516686a0d0ff133254df2595f44d23d9b7ecf1966a11ef4c2beeacec440.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1998.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A1999.ZIP;fe7428b367a2d40acaefe823fd5080254d07f9ad6c29fc64c9e6876cbd876f09;6675159;b3/cotahist/COTAHIST_A1999.ZIP/fe7428b367a2d40acaefe823fd5080254d07f9ad6c29fc64c9e6876cbd876f09.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A1999.ZIP;2026-09-24T18:17:37Z
b3;cotahist;COTAHIST_A2000.ZIP;77ba58b5138e384be140759bf836e8cc22189cdfecdf80e4c13672c535f42bd6;6689526;b3/cotahist/COTAHIST_A2000.ZIP/77ba58b5138e384be140759bf836e8cc22189cdfecdf80e4c13672c535f42bd6.zip;canonico;;data/bronze/b3/cotahist/COTAHIST_A2000.ZIP;2026-09-24T18:17:37Z
