caminho;origem;acesso
cotahist/COTAHIST_A1986.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1986.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1987.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1987.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1988.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1988.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1989.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1989.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1990.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1990.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1991.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1991.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1992.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1992.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1993.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1993.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1994.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1994.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1995.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1995.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1996.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1996.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1997.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1997.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A1998.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1998.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
