fonte;recurso;arquivo;sha256;bytes;chave;papel;versao;origem;dt_envio
cvm;cad;cad_cia_aberta.csv;2ca2f1cc7682b2c861b4a0ecac7ce5e4c53739f51af0abee06501c001644d72e;1493828;cvm/cad/cad_cia_aberta.csv/2ca2f1cc7682b2c861b4a0ecac7ce5e4c53739f51af0abee06501c001644d72e.csv;canonico;;data/bronze/cvm/cad/cad_cia_aberta.csv;2026-09-25T14:23:07Z
cvm;cad;cad_cia_aberta.csv;830b4d910cb482854f8c0e235ba19b208ca1310d11d9c350f20b2aff9ddfe30f;1493800;cvm/cad/cad_cia_aberta.csv/830b4d910cb482854f8c0e235ba19b208ca1310d11d9c350f20b2aff9ddfe30f.csv;canonico;;data/bronze/cvm/cad/cad_cia_aberta.csv;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2010.zip;c6a9c95c2510e8a71bb583084492e9c52c3f423a3be56f1c5d2dd4f6960677ff;8900829;cvm/dfp/dfp_cia_aberta_2010.zip/c6a9c95c2510e8a71bb583084492e9c52c3f423a3be56f1c5d2dd4f6960677ff.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2010.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2011.zip;858423fba40124d7a30abea4e70248f7251e1d2c792e9fcece5a57afd3115f34;9225478;cvm/dfp/dfp_cia_aberta_2011.zip/858423fba40124d7a30abea4e70248f7251e1d2c792e9fcece5a57afd3115f34.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2011.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2012.zip;3aff7a726d324d29924887eed45bbc58bc30b66cd9079bafe701d55efdfe0849;9201737;cvm/dfp/dfp_cia_aberta_2012.zip/3aff7a726d324d29924887eed45bbc58bc30b66cd9079bafe701d55efdfe0849.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2012.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2013.zip;ef379ac9aab9567434ca6d36053d8bd1f0a2a47a0c65a2e1d218259da530e224;9171449;cvm/dfp/dfp_cia_aberta_2013.zip/ef379ac9aab9567434ca6d36053d8bd1f0a2a47a0c65a2e1d218259da530e224.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2013.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2014.zip;b8795dba134754475a485c0f88b6542face6613bb418d261caa011d90e032f28;9079931;cvm/dfp/dfp_cia_aberta_2014.zip/b8795dba134754475a485c0f88b6542face6613bb418d261caa011d90e032f28.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2014.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2015.zip;39a7001be9eaa91a6acc83831c816794df4f92441d7702b80da6c4b234352b4e;8987623;cvm/dfp/dfp_cia_aberta_2015.zip/39a7001be9eaa91a6acc83831c816794df4f92441d7702b80da6c4b234352b4e.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2015.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2016.zip;772f06a73c5fe80534b61365ea5d03f9d8fcce21b87823bd5c9d48699bcf71d5;9832691;cvm/dfp/dfp_cia_aberta_2016.zip/772f06a73c5fe80534b61365ea5d03f9d8fcce21b87823bd5c9d48699bcf71d5.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2016.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2017.zip;1ff8185d61759e49b406c55c5d0b593587c2e76e9032c95f836f7fea02fc9d58;10150935;cvm/dfp/dfp_cia_aberta_2017.zip/1ff8185d61759e49b406c55c5d0b593587c2e76e9032c95f836f7fea02fc9d58.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2017.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2018.zip;280dcf5acd7bdb529acc186c9a1195092a1e06cf1e33ddcdca0b11c31261296f;10237924;cvm/dfp/dfp_cia_aberta_2018.zip/280dcf5acd7bdb529acc186c9a1195092a1e06cf1e33ddcdca0b11c31261296f.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2018.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2019.zip;bc82a1162b44686e8953b521e3424a5938b6661ff4655f832db4ea9488296a0d;11185526;cvm/dfp/dfp_cia_aberta_2019.zip/bc82a1162b44686e8953b521e3424a5938b6661ff4655f832db4ea9488296a0d.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2019.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2020.zip;8fb97d1887aed1e1e2d85e54cb133baf9f65b9f46f60fa8720f09c1f7a74362e;12637854;cvm/dfp/dfp_cia_aberta_2020.zip/8fb97d1887aed1e1e2d85e54cb133baf9f65b9f46f60fa8720f09c1f7a74362e.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2020.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2021.zip;64b8693b709538a0357c5179ae02231cb380d0000956ee57a873a21d4efda2e4;13283026;cvm/dfp/dfp_cia_aberta_2021.zip/64b8693b709538a0357c5179ae02231cb380d0000956ee57a873a21d4efda2e4.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2021.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2022.zip;0938723d8459507c8d31ce84cdc958b175ea019249d437145975f2bd22543932;13448919;cvm/dfp/dfp_cia_aberta_2022.zip/0938723d8459507c8d31ce84cdc958b175ea019249d437145975f2bd22543932.zip;snapshot;20260913;data/bronze/cvm/dfp/_snapshots/dfp_cia_aberta_2022__v20260913__0938723d8459.zip;2026-09-24T18:17:37Z
cvm;dfp;dfp_cia_aberta_2022.zip;ac08f4150eb413e4f9a55969e3162dd543a6a18b0d54c4348fdcaa1864f57d7b;13448893;cvm/dfp/dfp_cia_aberta_2022.zip/ac08f4150eb413e4f9a55969e3162dd543a6a18b0d54c4348fdcaa1864f57d7b.zip;canonico;;data/bronze/cvm/dfp/dfp_cia_aberta_2022.zip;2026-09-24T18:17:37Z
