modulo;producao;linhas;executadas;percentual
alocacao/alocacao.py;1;893;857;96.0
alocacao/ambiente.py;1;81;50;61.7
alocacao/aporte.py;1;88;43;48.9
alocacao/backtest_h1_h3.py;1;78;47;60.3
alocacao/campos_mortos.py;1;64;57;89.1
alocacao/cenarios.py;1;93;0;0.0
alocacao/conftest.py;0;56;48;85.7
alocacao/corretoras.py;1;272;262;96.3
alocacao/demo_aporte.py;1;44;0;0.0
alocacao/estado_io.py;1;155;111;71.6
alocacao/fatores.py;1;92;73;79.3
alocacao/impacto.py;1;158;128;81.0
alocacao/jcp.py;1;21;21;100.0
alocacao/motor.py;1;44;43;97.7
alocacao/multiplicidade.py;1;92;90;97.8
alocacao/preregistro.py;1;144;142;98.6
alocacao/reserva.py;1;88;29;33.0
alocacao/sleeve.py;1;49;33;67.3
alocacao/tese.py;1;181;150;82.9
alocacao/test_alocacao.py;0;1308;1300;99.4
alocacao/test_b11_registro_sem_future.py;0;29;29;100.0
alocacao/test_campos_mortos.py;0;32;32;100.0
alocacao/test_corretoras.py;0;291;291;100.0
alocacao/test_e02_registros.py;0;53;51;96.2
alocacao/test_e08_bloqueio_e_copia.py;0;66;65;98.5
alocacao/test_fatores.py;0;93;93;100.0
alocacao/test_impacto.py;0;67;66;98.5
alocacao/test_jcp.py;0;44;43;97.7
alocacao/test_limitacoes_tipo.py;0;82;82;100.0
alocacao/test_motor.py;0;115;112;97.4
alocacao/test_multiplicidade.py;0;116;115;99.1
alocacao/test_p141_paralelo.py;0;23;23;100.0
alocacao/test_p40_lint.py;0;44;41;93.2
alocacao/test_p67_segredo.py;0;39;35;89.7
alocacao/test_p71_p72_porta_de_entrada.py;0;63;63;100.0
alocacao/test_p77_duas_pontas.py;0;71;68;95.8
alocacao/test_p82_copia_do_projeto.py;0;48;46;95.8
alocacao/test_p98_acervo_fora_do_indice.py;0;49;48;98.0
alocacao/test_preregistro.py;0;259;257;99.2
alocacao/test_sleeve.py;0;34;34;100.0
alocacao/test_tese.py;0;118;118;100.0
alocacao/test_usuario_novo.py;0;90;90;100.0
alocacao/test_y01_yaml_duplicata.py;0;54;53;98.1
auditoria/achados_ancorados.py;1;63;56;88.9
auditoria/chaves_orfas.py;1;140;134;95.7
auditoria/cobertura_csv.py;1;46;45;97.8
auditoria/expira_proxima.py;1;38;38;100.0
auditoria/p88_block_bootstrap.py;1;105;66;62.9
auditoria/pares_irmaos.py;1;116;0;0.0
auditoria/tamanho_do_contexto.py;1;58;48;82.8
auditoria/test_achados_ancorados.py;0;64;62;96.9
auditoria/test_chaves_orfas.py;0;61;57;93.4
auditoria/test_cobertura_csv.py;0;21;21;100.0
auditoria/test_expira_proxima.py;0;15;15;100.0
auditoria/test_p88_block_bootstrap.py;0;92;91;98.9
auditoria/test_raiz_viva.py;0;35;34;97.1
auditoria/test_tamanho_do_contexto.py;0;66;60;90.9
fase0/acervo.py;1;141;121;85.8
fase0/acervo_de_teste.py;1;16;15;93.8
fase0/ajustar.py;1;518;473;91.3
fase0/armazem.py;1;175;171;97.7
fase0/calendario.py;1;124;117;94.4
fase0/capturar_cotahist.py;1;87;82;94.3
fase0/capturar_cvm.py;1;504;461;91.5
fase0/coletar_b3.py;1;314;187;59.6
fase0/conftest.py;0;8;8;100.0
fase0/cvm_catalogo.py;1;98;0;0.0
fase0/insumo_ml.py;1;117;92;78.6
fase0/manifesto_cvm.py;1;174;169;97.1
fase0/materializar_acervo.py;1;51;37;72.5
fase0/memo_acervo.py;1;24;24;100.0
fase0/moeda.py;1;103;95;92.2
fase0/nomear_extracoes.py;1;116;109;94.0
fase0/refinar.py;1;219;181;82.6
fase0/sondar_cotahist.py;1;52;51;98.1
fase0/subir_acervo_local.py;1;104;100;96.2
fase0/test_a12_chave_de_evento.py;0;87;87;100.0
fase0/test_acervo.py;0;131;131;100.0
fase0/test_acervo_de_teste.py;0;48;45;93.8
fase0/test_ajustar.py;0;329;326;99.1
fase0/test_ajustar_janela.py;0;355;352;99.2
fase0/test_armazem.py;0;198;198;100.0
fase0/test_calendario.py;0;66;65;98.5
fase0/test_calendario_p99.py;0;105;102;97.1
fase0/test_capturar_cotahist.py;0;105;105;100.0
fase0/test_capturar_cvm.py;0;352;351;99.7
fase0/test_capturar_cvm_armazem.py;0;167;167;100.0
fase0/test_coletar_b3.py;0;266;263;98.9
fase0/test_insumo_ml.py;0;161;161;100.0
fase0/test_manifesto_cvm.py;0;137;137;100.0
fase0/test_materializar_acervo.py;0;33;33;100.0
fase0/test_memo_acervo.py;0;68;66;97.1
fase0/test_moeda.py;0;112;110;98.2
fase0/test_nomear_extracoes.py;0;126;126;100.0
fase0/test_origem_bom.py;0;29;29;100.0
fase0/test_p113_preco_de_vespera.py;0;133;131;98.5
fase0/test_p114_raiz_do_cotahist.py;0;94;93;98.9
fase0/test_p120_extracoes_soltas.py;0;59;59;100.0
fase0/test_p121_pasta_nao_e_cotahist.py;0;27;27;100.0
fase0/test_p125_ano_do_cabecalho.py;0;22;22;100.0
fase0/test_p7_captura_declarada.py;0;98;96;98.0
fase0/test_refinar.py;0;185;184;99.5
fase0/test_sondar_cotahist.py;0;60;59;98.3
fase0/test_subir_acervo_local.py;0;70;70;100.0
fase0/test_universo_ml.py;0;63;63;100.0
fase0/test_workflow_captura.py;0;79;79;100.0
fase0/universo_ml.py;1;151;87;57.6
tools/analisar_sessoes.py;1;218;187;85.8
tools/test_analisar_sessoes.py;0;41;41;100.0
